z1,z2
-0.36673284,1.0589591
-0.12127918,0.6346775
-2.2501564,4.156192
-0.12084621,0.63352656
-0.6557892,1.5334262
-0.021434546,-0.0023973286
-1.8586427,3.512144
0.017519206,-0.39452243
0.2642507,-2.4962196
-0.25098217,0.877262
-0.011121422,-0.15055704
0.05910349,-0.74874336
-0.90718615,1.9469792
-0.025413334,0.16695875
-0.09407279,0.56235874
-0.03538364,0.40502244
-1.7375447,3.3129354
-0.08610666,0.5377302
0.012321591,-0.35024798
0.24438468,-2.3269973
0.12462804,-1.3068916
0.41531083,-3.7829719
-1.7248987,3.2921324
0.103458196,-1.1265635
-0.02705735,0.23693365
0.42422673,-3.8589196
-1.8163584,3.4425855
-1.88654,3.5580354
-1.3497859,2.6750646
-4.754629,8.276099
-1.1853228,2.4045196
-1.7065514,3.2619505
-0.026456326,0.29281443
-0.02066648,-0.035087556
0.34786642,-3.2084708
0.122474015,-1.2885436
-1.2995588,2.5924401
-2.0176253,3.7736735
0.010841459,-0.33764023
-2.9597201,5.3234377
0.33698022,-3.1157413
0.1782328,-1.7635056
-1.0589579,2.1966467
-3.8372302,6.766959
0.220702,-2.1252646
-0.2631505,0.89556885
0.19244564,-1.8845729
-3.5721087,6.330829
-1.3497466,2.6749997
-0.100398034,0.5791722
-0.06684929,0.49530637
-1.0162771,2.1264358
0.042719305,-0.60918057
-2.3955317,4.3953366
-0.32486117,0.9913192
-0.030411929,0.3543402
0.016324341,-0.3843444
0.06433101,-0.7932723
-2.5228844,4.604835
-3.4374042,6.1092377
0.20215055,-1.9672405
-0.021047354,-0.018874228
-1.682774,3.2228365
0.26873383,-2.5344071
-0.03142762,0.3646943
0.178198,-1.763209
-0.04987514,0.45789415
0.3928056,-3.5912695
0.31844795,-2.957879
-0.5671351,1.3875884
0.12762271,-1.3324009
0.048203737,-0.65589786
0.22429542,-2.1558738
-2.1661668,4.0180273
0.05810702,-0.7402556
0.14876902,-1.5125284
-3.9390845,6.934513
-2.653799,4.8201914
-4.5655403,7.965045
-0.612792,1.462695
0.06577414,-0.8055652
0.25685358,-2.4332094
-0.046526402,0.4501263
0.2875939,-2.6950603
-3.0934305,5.543394
-3.8154492,6.73113
-0.15272287,0.7182595
-0.015417784,-0.11396015
-0.13305265,0.6659732
-4.628545,8.068688
-0.20963258,0.81505334
-2.9245133,5.265522
0.05411929,-0.70628715
-0.019664228,-0.07774547
-2.1102338,3.9260168
-1.158772,2.3608427
-2.3767552,4.3644495
-0.15886101,0.7345757
0.123622835,-1.2983292
-2.2126274,4.094456
0.013794094,-0.36279142
-1.1953791,2.4210625
-1.7819067,3.385912
-0.24734032,0.87178314
-2.3232174,4.276379
-1.2476224,2.5070033
-2.68645,4.8739033
0.3694268,-3.3921251
-0.0771898,0.51775384
-1.5738708,3.0436883
-0.025821358,0.18432361
-0.25849384,0.88856304
-0.50461173,1.2847363
0.040605247,-0.59117234
0.07550454,-0.8884504
-1.1959231,2.421957
-1.2971346,2.5884523
-0.62539935,1.4834342
-5.152233,8.930165
-3.3951411,6.039714
0.22386757,-2.1522293
0.29157525,-2.7289734
-0.5672957,1.3878525
0.031448334,-0.5131726
-0.021897197,0.017295688
0.64069116,-5.702797
0.16365732,-1.6393492
-0.29131556,0.9379419
-2.1452107,3.983554
-3.5989513,6.374986
-0.026245564,0.20238161
-1.7003382,3.25173
-3.1875734,5.6982613
-1.4551588,2.848405
-2.4266376,4.4465065
0.30184326,-2.8164387
0.10572715,-1.1458908
-0.1117737,0.60941046
0.25139678,-2.3867273
-0.04485956,0.44625974
-1.9346975,3.6372557
0.26190978,-2.4762788
0.022282422,-0.4350959
-2.327693,4.2837415
-0.4362002,1.1721979
-1.9667114,3.6899195
-3.0994563,5.5533066
0.11657077,-1.2382584
0.3559608,-3.2774196
-3.1346726,5.6112385
0.028140098,-0.48499274
-1.4642483,2.8633575
-1.0990471,2.2625942
-1.3341551,2.6493511
-1.9407424,3.6471996
-0.065241605,0.49182498
-1.8669494,3.5258088
-0.023542881,0.08734411
-0.14815271,0.70611143
-0.5447649,1.350789
-2.0380588,3.8072867
-1.2992634,2.5919538
0.07498926,-0.8840609
0.013032168,-0.3563015
-2.1943789,4.064437
-0.035019666,0.40131152
0.07401441,-0.87575674
-3.7395644,6.6062975
0.023365915,-0.44432497
-1.4910072,2.9073763
0.029997617,-0.50081545
-1.7157675,3.2771115
-4.04214,7.10404
-3.6460676,6.4524927
-0.06569716,0.4928115
-0.023975939,0.10577649
-2.030807,3.7953572
0.04655218,-0.6418293
-3.7219539,6.5773273
-0.16234678,0.7427803
-2.7157931,4.9221735
-1.4669137,2.867742
-0.066413164,0.49436194
-1.9327525,3.634056
-0.8699666,1.8857521
0.13607648,-1.4044114
-1.2995328,2.5923972
0.09454021,-1.0505987
-2.534196,4.6234426
0.020065367,-0.4162107
0.24205342,-2.3071399
-5.5312953,9.55373
